occupation_id,occupation_name,competency_unit
TIK.ITG0802,KEPALA PENASIHAT TI (LEAD IT ADVISOR),"keahlian interpersonal: kemampuan komunikasi dan interpersonal yang kuat, serta kemampuan untuk bekerja sama dengan berbagai pemangku kepentingan."
TIK.ITG0802,KEPALA PENASIHAT TI (LEAD IT ADVISOR),direct ict services
TIK.ITG0802,KEPALA PENASIHAT TI (LEAD IT ADVISOR),synchronise ict projects
TIK.ITG0802,KEPALA PENASIHAT TI (LEAD IT ADVISOR),manage an information architecture project
TIK.ITG0802,KEPALA PENASIHAT TI (LEAD IT ADVISOR),develop a business intelligence framework
TIK.ITG0802,KEPALA PENASIHAT TI (LEAD IT ADVISOR),manage ict services
TIK.ITG0802,KEPALA PENASIHAT TI (LEAD IT ADVISOR),manage automated ict system applications using enterprise wide operating system
TIK.ITG0802,KEPALA PENASIHAT TI (LEAD IT ADVISOR),manage improvements in ict sustainability
TIK.ITG0802,KEPALA PENASIHAT TI (LEAD IT ADVISOR),lead applied research in ict sustainability
TIK.ITG0803,KEPALA MANAJEMEN PROGRAM (LEAD PROGRAM MANAGEMENT),"orang yang bertanggung jawab atas perencanaan, pengelolaan, dan pelaksanaan program teknologi informasi dan komunikasi (tik) dalam suatu organisasi. lpm bekerja sama dengan berbagai pihak, termasuk pemangku kepentingan internal dan eksternal, untuk memastikan program tik berjalan sesuai dengan tujuan dan anggaran yang telah ditetapkan."
TIK.ITG0803,KEPALA MANAJEMEN PROGRAM (LEAD PROGRAM MANAGEMENT),memimpin dan mengelola tim pengembangan dan implementasi program ti perusahaan
TIK.ITG0803,KEPALA MANAJEMEN PROGRAM (LEAD PROGRAM MANAGEMENT),memastikan bahwa program ti perusahaan sesuai dengan kebutuhan bisnis dan keamanan
TIK.ITG0803,KEPALA MANAJEMEN PROGRAM (LEAD PROGRAM MANAGEMENT),komunikatif
TIK.ITG0803,KEPALA MANAJEMEN PROGRAM (LEAD PROGRAM MANAGEMENT),senang dengan teknologi baru
TIK.ITG0803,KEPALA MANAJEMEN PROGRAM (LEAD PROGRAM MANAGEMENT),teamwork
TIK.ITG0803,KEPALA MANAJEMEN PROGRAM (LEAD PROGRAM MANAGEMENT),merencanakan dan mengorganisasi pekerjaan
TIK.ITG0803,KEPALA MANAJEMEN PROGRAM (LEAD PROGRAM MANAGEMENT),sadar biaya
TIK.ITG0803,KEPALA MANAJEMEN PROGRAM (LEAD PROGRAM MANAGEMENT),teliti
TIK.ITG0803,KEPALA MANAJEMEN PROGRAM (LEAD PROGRAM MANAGEMENT),merancang dan mengimplementasikan strategi program tik
TIK.ITG0803,KEPALA MANAJEMEN PROGRAM (LEAD PROGRAM MANAGEMENT),mengelola tim program tik
