academic_year,course_name,meeting_number,meeting_content
20241,E-Business dan Pemrograman Berbasis Web,3,"BMC and Technology Osterwalden A. 2013. A Better Way to Think About Your Business Model, url: https://hbr.org/2013/05/a-better-way-to-think-about-yo Students are able to define BMC and Technology stack for supporting business Elektronice Business dan Pemrograman Web Menjelaskan tentang Jenis-jenis Bussiness Online, salah satunya Business ""StarUp"" Mahasiswa Diajarkantentang Jenis-jenis Bussiness Online, salah satunya Business ""StarUp"""
20241,E-Business dan Pemrograman Berbasis Web,4,"Elekronict Business Membangun suatu Media Elektronic Business dengan membuka Toko online di Buka Lapak, Toko Pedia, Tiktok Shop atau Sophie Mahasiswa diajarkan cara Membangun suatu Media Elektronic Business dengan membuka Toko online di Buka Lapak, Toko Pedia, Tiktok Shop atau Sophie Server side scripting language (basic PHP) Beginning PHP and MySQL: From Novice to Professional (Expert's Voice in Web Development) Students are able to implement some of the basic built function on PHP to solve problems"
20241,E-Business dan Pemrograman Berbasis Web,5,"Pemrograman Web dan E-Business Menjelaskan bagi Membangun sebuah sistem yang besar dan kompleks SI e-Business Mahasiswa diajarkan bagaimana cara untuk Membangun sebuah sistem yang besar dan kompleks SI e-Business Web Server-side Programming languages & Web Services Mastering PHP - Design, configure, build, and test professional web application in PHP Students are able to create, design, configure and test the professional web application"
20241,E-Business dan Pemrograman Berbasis Web,6,E-binis dan Pemrograman Web Pemodelan Perancangan Sistem E-Business Mahsiswa diajarkan tentang pemodelan Perancangan E-business Server-side scripting NodeJS Students are able to explain and create server-side scripting based on NodeJS
20241,E-Business dan Pemrograman Berbasis Web,7,"E-Business dan Web Menjelaskan Bagaimana cara membuka dan membuat Toko online Mahasiswa diajarkan bagimana cara membuka dan membuat Toko online di Toko pedia, Buka Lapak, Sophie dll. WebApps based on NideJS Wandschneider M. (2013). Learning Node.js - A Hands-on Guide to Building Web Applications in JavaScript Students are able to explain the main concept of nodejs as server and create itâ€™s application."
20241,E-Business dan Pemrograman Berbasis Web,8,Elektronic Business & Pemrograman Web Memulai Pemrograman Web Mahasiswa diajarkan bagaimana mulai Meng Instalasi XAMMP untuk persiapan pembuatan Program Web E-Business dan Pemrograman Berbasis Web | Review on server side technology and ebusiness Digital transformation and e-business Students are able to explain the main concept of ebusiness and its supported technology
20241,E-Business dan Pemrograman Berbasis Web,9,"Membuat Program Web dengan Bahasa PHP Bagaimana cara membuat Program Web dengan Bahasa PHP Mahasiswa diajarkan bagaimana cara membuat program Web dengan bahasa PHP dan HTML use case: e-goverment MySQL, PHP and NodeJS Students are able to explain the concept of e-goverment and its application"
20241,E-Business dan Pemrograman Berbasis Web,10,"Frontend: HTML & CSS3 Castro, E., and Hyslop, B. (2012). HTML5 and CSS3, Seventh Edition: Visual QuickStart Guide. Berkeley: Peachpit Press. Students are able to explain and create web application using HTML & CSS3 Pembuatan Program Web Aplikasi dengan PHP Menjelaskan bagaimana cara membuat Program Web dengan PHP Mahasiswa diajarkan bagaimana cara membuat program Aplikasi dengan Bahasa PHP"
20241,E-Business dan Pemrograman Berbasis Web,11,"Membuat Program Aplikasi Bussiness dengan Bahasa Perograman PHP Membuat tugas Project Aplikasi Business dengan Bahasa Pemrograman PHP Mahasiswa diajarkan dan diberi tugas untuk membuat Program Aplikasi Business dengan bahasa pemrograman PHP Web Client-side Programming languages Part 1 (HTML, xHTML, and HTML5), CSS3 and RW Castro, E., and Hyslop, B. HTML5 and CSS3, Seventh Edition: Visual QuickStart Guide. Berkeley: Peachpit Press. Students are able to create a simple application by using Web Client-side Programming languages Part 1 (HTML, xHTML, and HTML5), CSS3 and RW"
20241,E-Business dan Pemrograman Berbasis Web,12,"E-Business dan Pemrograman Web Mempelajari bagaimana membuat Website toko Online Mahasiswa dijarkan bagaimana cara membuat website toko online JavaScripts and AJAX ReactJS, 2024, AJAX and API, URL: https://legacy.reactjs.org/docs/faq-ajax.html Students are able to create web pages that uses JavaScripts and AJAX to enhance interaction"
20241,E-Business dan Pemrograman Berbasis Web,13,"E-Business Pembahasan Project Pembuatan website Toko Online Mahasiswa diajarkan untuk membuat Project Pembuatan Website Toko online Presentasi tugas akhir ebis dan pemrograman web Castro, E., and Hyslop, B. (2012). HTML5 and CSS3, Seventh Edition: Visual QuickStart Guide. Berkeley: Peachpit Press. Wandschneider M. (2013). Learning Node.js - A Hands-on Guide to Building Web Applications in JavaScript Ajzele B. (2017). Mastering PHP 7 - Design, configure, build, and test professional web application in PHP 7 Mahasiswa dapat menjelaskan produk akhir web yang dibangun dengan teknologi web"
20241,E-Business dan Pemrograman Berbasis Web,14,"E-Business & Pemrograman Web Mengerjakan Tugas Project Pembuatan Website Toko Online Mahasiswa Menjelaskan Tugas yang pembuatan Web Toko onlne (Tugas Mandiri) Review on E-Business & Web-Based Programming and Group Presentation (working progress) Laudon, K., and Traver, C. G. (2011). E-Commerce. Prentice Hall. Castro, E., and Hyslop, B. (2012). HTML5 and CSS3, Seventh Edition: Visual QuickStart Guide. Berkeley: Peachpit Press. Wandschneider M. (2013). Learning Node.js - A Hands-on Guide to Building Web Applications in JavaScript Ajzele B. (2017). Mastering PHP 7 - Design, configure, build, and test professional web application in PHP 7 Students are able to explain the main concept of e-business & web-based programming. Also, the students are able to present the latest progress regarding to mini project. Interaksi Manusia dan Komputer"
20241,Interaksi Manusia dan Komputer,1,"Introduction to Human Computer Interaction (HCI) and Usability. Shneiderman, B. Designing the User Interface: Strategies for Effective Human-Computer Interaction. (5th, Ed.) Addison Wesley. Students are able to explain the main concept of HCI and Usability"
20241,Interaksi Manusia dan Komputer,2,"7. Review Bahasan 1 sampai dengan 6 dan Presentasi Tugas [4] Dix, Alan et.al, HUMAN-COMPUTER INTERACTION, 3rd Edition, Pearson:Prentice Hall, 2003 Human, Computer, Interaction, Usability , Task Analysis, Design, Prototyping, Dialog Interaction Design Sharp et al. Interaction Design: beyond human-computer interaction, Fifth Edition Students are able to explain the main concept of Interaction Design"
20241,Interaksi Manusia dan Komputer,3,"Introduction to Human Computer Interaction (HCI): HCI: Theories, Guidelines and Principles Shneiderman, B. Designing the User Interface: Strategies for Effective Human-Computer Interaction. Addison Wesley. Students are able to explain the main concept regarding to Theories, Guidelines and Principles in designing interactive design product. Prinsip Usability Human Computer Interaction, Dix Alan, Pearson, Prentice Hall Mengetahui dan Memahami Prinsip Usability, Desain Proses dan Kemampuan Manusia"
20241,Interaksi Manusia dan Komputer,4,"Presentation - Interaction design Galitz. (2002). The Essential Guide to User Interface Design. New York:Wiley. Students are able to explain the main concept of interaction design including its application, theories, principles and guidelines Task Analysis [4] Dix, Alan et.al, HUMAN-COMPUTER INTERACTION, 3rd Edition, Pearson:Prentice Hall, 2003. Task analysis begins by defining any of the userâ€™s problems as scenarios and concludes with creating a task flow that outlines the journey from problem to solution."
20241,Interaksi Manusia dan Komputer,5,"Design [4] Dix, Alan et.al, HUMAN-COMPUTER INTERACTION, 3rd Edition, Pearson:Prentice Hall, 2003. Human-computer interaction(HCI) Design Human-Computer Interaction Design is a multidisciplinary field that puts emphasis on the interaction between a computer and a human. Itâ€™s about ensuring the smooth interaction between a human and a computer system by ensuring that the computer systems are user-friendly and efficient. Interaction Styles & Interaction Devices and Command and Natural Languages Shneiderman, B. Designing the User Interface: Strategies for Effective Human-Computer Interaction. Addison Wesley. Students are able to explain the main concept of interaction style and its devices for creating Direct Manipulation and using Virtual Environments and others type of environment such as Menu Selection, Form Fill-in, and Dialog Boxes"
20241,Interaksi Manusia dan Komputer,6,"Collaboration and Social Media Participation Shneiderman, B.Designing the User Interface: Strategies for Effective Human-Computer Interaction. Addison Wesley. Students are able to explain the main interface for collaboration and social media participation Prototyping [4] Dix, Alan et.al, HUMAN-COMPUTER INTERACTION, 3rd Edition, Pearson:Prentice Hall, 2003. Prototyping in Human-Computer Interaction (HCI) refers to the process of creating a simplified, preliminary version of a digital product or system to gather feedback and test design concepts. Prototyping is an essential step in the iterative design process, allowing designers and developers to quickly explore ideas, refine interactions, and validate design decisions before investing in full-scale development. Interaksi Manusia dan Komputer"
20241,Interaksi Manusia dan Komputer,7,"Dialog Dix, Alan et.al, HUMAN-COMPUTER INTERACTION, 3rd Edition, Pearson:Prentice Hall, 2003. Dialog design plays an important role in the interaction between the user and the system. It provides ways through which user can input their data, receive feedback, and navigate throughout the system. Effective dialog design is important for providing a great user experience and ensuring efficient conversation between the user and the system. Models of Response Time Impacts, Expectations and Attitudes & User Productivity Galitz. The Essential Guide to User Interface Design Students are able to explain the main concept of Models of Response Time Impacts, Expectations and Attitudes & User Productivity"
20241,Interaksi Manusia dan Komputer,8,"PENANGANAN KESALAHAN & HELP-DOKUMENTASI Dix, Alan et.al, HUMAN-COMPUTER INTERACTION, 3rd Edition, Pearson:Prentice Hall, 2003 bantuan dan dokumentasi, kognitif models, presentasi error message, Backus Naur Form, hirarchical teask analysis, error message, help, documentation task action grammar User Experience Shneiderman, B. Designing the User Interface: Strategies for Effective Human-Computer Interaction. (5th, Ed.) Addison Wesley. Lai E & Law C, ""Measurability and Predictability of User Experience (UX). Students are able to explain some of the key concepts of UX as follow Specific sub-topic: Introduction to UX; Some Definitions; user-center versus value-centered design; UX Design Output; Mental vs Concept Model; Specific sub-topic: UX Model and Evaluation. References: [5] and [6]."
20241,Interaksi Manusia dan Komputer,9,"CSCW & Ubiquitous Computing [4] Dix, Alan et.al, HUMAN-COMPUTER INTERACTION, 3rd Edition, Pearson:Prentice Hall, 2003 Defined as the study of people collaborating together using computer-based tools, such as groupware, across various academic disciplines like computer science and psychology. Design Thinking MÃ¼ller-Roterberg, Christian. (2018). Handbook of Design Thinking. Available at: https://www.researchgate.net/publication/329310644_Handbook_of_Design_Thinking Students are able to explain the main concept of Design thinking process and its methodology."
20241,Interaksi Manusia dan Komputer,10,"Design Thinking MÃ¼ller-Roterberg, Christian. (2018). Handbook of Design Thinking. Available at: https://www.researchgate.net/publication/329310644_Handbook_of_Design_Thinking Students are able to explain the main concept of design thinking Evaluasi [4] Dix, Alan et.al, HUMAN-COMPUTER INTERACTION, 3rd Edition, Pearson:Prentice Hall, 2003. Evaluasi Technique, EVALUASI - Pengenalan Evaluasi Empiris - Perancangan Eksperimen ïƒ˜ Hipotesa ïƒ˜ Variabel ïƒ˜ Rancangan dan Paradigma"
20241,Interaksi Manusia dan Komputer,11,"Website [4] Dix, Alan et.al, HUMAN-COMPUTER INTERACTION, 3rd Edition, Pearson:Prentice Hall, 2003. Website is the collection of web pages, different multimedia content such as text, images, and videos which can be accessed by the URL which you can see in the address bar of the browser. Workshop #1: Needfindings [7] Dam R. F. & Siang T. Y., ""5 Stages in Design Thinking Process"", available: https://www.interaction-design.org/literature/article/5-stages-in-the-design-thinkingprocess [8] MÃ¼ller-Roterberg, Christian. (2018). Handbook of Design Thinking. Available at: https://www.researchgate.net/publication/329310644_Handbook_of_Design_Thinking Students are able to apply their understanding of the first step in design thinking"
20241,Interaksi Manusia dan Komputer,12,"Visualisasi informasi Alan Dix, Talis, 43 Temple Row, Birmingham, B2 5LS, UK 2 University of Birmingham, School of Computer Science, Birmingham, UK Dix, Alan et.al, HUMAN-COMPUTER INTERACTION, 3rd Edition, Pearson:Prentice Hall, 2003. INFORMATION VISUALISATION Visualisation makes data easier to understand through direct sensory experience (usually visual), as opposed to more linguistic/logical reasoning Workshop #2: Define Dam R. F. & Siang T. Y., ""5 Stages in Design Thinking Process"", available: https://www.interaction-design.org/literature/article/5-stages-in-the-design-thinkingprocess MÃ¼ller, Christian. (2018). Handbook of Design Thinking. Available at: https://www.researchgate.net/publication/329310644_Handbook_of_Design_Thinking Students are able to practice design thinking process: 1) empathy and 2) Define"
20241,Interaksi Manusia dan Komputer,13,"Audio and Agents - Dix, Alan et.al, HUMAN-COMPUTER INTERACTION, 3rd Edition, Pearson:Prentice Hall, 2003. - Shneiderman , Ben. Catherine Plaisant, Designing the User Interface: Strategies for Effective Human-Computer Interaction, 5th Edition, Pearson Addison-Wesley An agent is anything that can be viewed as perceiving its environment through sensors and acting upon that environment through actuators Final Presentation MÃ¼ller-Roterberg, Christian. (2018). Handbook of Design Thinking. Available at: https://www.researchgate.net/publication/329310644_Handbook_of_Design_Thinking By implementing design thinking, students are able to present the final product ."
20241,Interaksi Manusia dan Komputer,14,"Review Bahasan 8 sampai dengan 13 dan Presentasi Tugas Dix, Alan et.al, HUMAN-COMPUTER INTERACTION, 3rd Edition, Pearson:Prentice Hall, 2003 Analysis Human Computer Interaction, user interface analysis, evaluasi, website, cscw, ubiquitous computing Interaksi Manusia dan Komputer | Workshop #3: Ideate, Prototyping and Usability testing (Prototype & Test) Dam R. F. & Siang T. Y., ""5 Stages in Design Thinking Process"", available: https://www.interaction-design.org/literature/article/5-stages-in-the-design-thinkingprocess MÃ¼ller-Roterberg, Christian. (2018). Handbook of Design Thinking. Available at: https://www.researchgate.net/publication/329310644_Handbook_of_Design_Thinking Students are able to generate idea, create prototype and test the product. Interpersonal Skill"
20241,Interpersonal Skill,1,"Culture and Interpersonal Communication DeVito, ""The Interpersonal Communication Book"", 4th Edition. Culture and Interpersonal Communication"
20241,Interpersonal Skill,2,"Foundations of Interpersonal Communication The Interpersonal Communication Book by Joseph DeVito, 15th Edition Foundations of Interpersonal Communication"
20241,Interpersonal Skill,3,"Listening in Interpersonal Communication The Interpersonal Communication Book by Joseph DeVito, 15th Edition Listening in Interpersonal Communication"
20241,Interpersonal Skill,4,"Perceptions of Self and Others in Interpersonal Communication The Interpersonal Communication Book by Joseph DeVito, 15th Edition Perceptions of Self and Others in Interpersonal Communication"
20241,Interpersonal Skill,5,"Nonverbal Messages The Interpersonal Communication Book by Joseph DeVito, 15th Edition Nonverbal Messages"
20241,Interpersonal Skill,6,
20241,Interpersonal Skill,7,"Emotional Messages The Interpersonal Communication Book by Joseph DeVito, 15th Edition Emotional Messages"
